,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
54,saturn,2022 my year fr,4u2gL1g6AgF2vlAURETOXi,31,42IAg1RgfyE8c66KZcSlSR,41,"['glitchcore', 'hyperpop']",30403
55,KAROL G,PROVENZA,7dSZ6zGTQx66c2GF91xCrb,95,790FomKkXshlbRYZFtlgla,86,"['latin', 'reggaeton', 'reggaeton colombiano']",26441754
56,Driveways,Ten Years Later (2022),5HcV3YJu0u1PERen9uSV0T,30,4OuSiJSnuRsK0dTM0dtm1R,45,"['anthem emo', 'pop punk']",24509
57,Beyoncé,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,91,6vWDO969PvNqNYHIOW5v0m,83,"['dance pop', 'pop', 'r&b']",31761572
58,Brook Benton,This Time of the Year (Remastered 2022),67miUQbUxLQipKWO7yfpLH,1,2ttm3uT0N1RN7vwKv1pQgh,46,"['brill building pop', 'rhythm and blues', 'soul']",56166
59,Harry Styles,Music For a Sushi Restaurant,5LYMamLv12UPbemOaTPyeV,90,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
60,Norah Jones,Seven Years,3B26XqOpSrxKSPKWJCVlwF,33,2Kx7MNY7cI1ENniW7vT30N,69,"['contemporary vocal jazz', 'jazz pop', 'neo mellow']",2814817
61,Steve Lacy,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,85,57vWImR43h4CaDao012Ofp,79,['afrofuturism'],1529669
62,Driveways,Ten Years Later (2022),47TcNyFx6YGe7OKZHnOfFW,25,4OuSiJSnuRsK0dTM0dtm1R,45,"['anthem emo', 'pop punk']",24509
63,Bad Bunny,Tarot,41oY4WCTj5kccfesTVFnvN,94,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
64,INMBeatz,New Year New Me,2lGrMaDv56BVIxNrgT5GY7,22,5KvQrDMPfkKOxoWLObhY10,24,[],35
65,Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,83,40ZNYROS4zLfyyBSs2PGe2,78,['oklahoma country'],502953
66,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",3uRUbppUFPsmrccRXSDAjE,33,1l7ZsJRRS8wlW3WfJfPfNS,76,"['dance pop', 'pop', 'post-teen pop']",7050895
67,Pharrell Williams,Cash In Cash Out,3S68RFe1lsdCdTMPIMJM3X,85,2RdwBSPQiwcmiDo9kixcl8,81,"['hip hop', 'pop']",4047360
68,Jordan Tavita,100 Years From Now - The Voice Australia 2022 / Grand Finalist Original,423Fvj5rrjrP5TdTTmPLa1,29,3Z8dwcebhUB2AWAkISc0gv,27,"['australian pop', 'australian talent show']",900
69,Sleepy Hallow,Die Young (feat. 347aidan),6EbVuwU7EnKeF2hdpViXCH,86,6EPlBSH2RSiettczlz7ihV,77,"['brooklyn drill', 'nyc rap']",976588
70,Melina Rai,Pardeshi Mayalu,75BZyT4TyhMxosebOxr1Sn,0,7GbWIycyNLXTGQDvehjunM,35,['nepali pop'],28070
71,Harry Styles,Daylight,51Zw1cKDgkad0CXv23HCMU,88,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
72,Ish Kevin,My Year (2022),16TeLUubmneRAhwmRAMbjM,20,27rjDVGfZG4eorQwrZt2ZD,23,['rwandan hip hop'],7033
73,Harry Styles,Matilda,6uvh0In7u1Xn4HgxOfAn8O,89,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
74,Jordan Tavita,100 Years From Now - The Voice Australia 2022 / Grand Finalist Original,6OkHGXt22tcbwkRugFMzoB,25,3Z8dwcebhUB2AWAkISc0gv,27,"['australian pop', 'australian talent show']",900
75,Bad Bunny,Un Ratito,5CzixCxDkRXX9mScCmah8O,91,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
76,WhispersRed ASMR,New Year Tingle Basket,7nrWOQFZWhFeyX9rKm44dk,17,4U8XXDGEnDPl105GfimoI8,28,['asmr'],23248
77,Drake,Sticky,4rmVZajAF7PkrCagGPHbqa,86,3TVXtAsR1Inumwj472S9r4,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",65321252
78,The Realm,Lost In Space (The Space Brothers Remix) - 2022 Remaster,4ipwKNmXBjb359j96ujkxh,22,5v0dpdswDjbY8BmxLReUoo,7,[],47
79,Yung Gravy,Betty (Get Money),4cacyP5c3PMlfnyjpg13xW,84,2YOYua8FpudSEiB9s88IgQ,73,"['minnesota hip hop', 'pop rap']",1368611
80,Gaana Subash,Happy New Year 2022,7CT6n85AuowzdPKFl9cXM4,15,3uOEdKZ7hTOfC0M33TYvNs,26,[],1206
81,Bad Bunny,La Corriente,1797zYiX4cKosMH836X9Gt,91,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
82,Zeekonthebeat,Happy New Years 2022,5bOP7QNXOdbaIP5uyN8Jrv,7,2ibE6lpyWtRBjDskTXQcVa,12,[],156
83,Harry Styles,Satellite,0rzaRSujxA0bKyjJl6vHYq,87,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
84,Social Creatures,Seven Years,7hTp6fqhhfl3jrrvWEGW5r,19,0Adb8zoz7BJ9T37gicl8oC,11,[],245
85,Bad Bunny,Yo No Soy Celoso,5kVZxyMY1gfdCLiChsfjn1,90,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
86,Danny Cocke,Before the War – SI 2022 Main Theme,0ZQgWgsIfaECd7Cket7TVO,16,2M7JkcbtuTMqyXlprvWXG7,29,['epicore'],4686
87,Bad Bunny,Neverita,31i56LZnwE6uSu3exoHjtB,90,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
88,Anju Panta,Chodi Janu,0oLoGMQkCrBw0vRQfMw1rl,0,5QFomiFtF0mfREM04k9XRV,32,"['classic nepali pop', 'nepali pop']",11024
89,Harry Styles,Grapejuice,4j6kId9QIqhoXvqHKgSKa0,86,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
90,Kyau & Albert,Where Did All the Years Go (In Bloom 2022),1U7isoIVpgTXGjIUi5LUEf,16,0pyi4vNCq5T6GgV1rt7ncc,44,"['edm', 'german techno', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",49205
91,Kendrick Lamar,N95,0fX4oNGBWO3dSGUZcVdVV2,86,2YZyLoL8N0Wb9xBt1NhZWg,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",20995897
92,Menachem 26,Istanbul 2022,5VnuU70qRWGrkLPkMLTiD4,25,24YsFyswWUJYWZOi5BQ6tJ,25,"['ethnotronica', 'organic electronic', 'organic house']",1918
93,Harry Styles,Little Freak,3i058E8uxTsYqJ5NWZzqSj,87,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
94,Hardage,Hysterical Years - Luca Elle Deep Remix,26iSIshoolIrb0jE135S3Q,0,23i5dMV7p0CSMcUBXk09lA,27,[],2160
95,Dove Cameron,Boyfriend,59CfNbkERJ3NoTXDvoURjj,88,2W8yFh0Ga6Yf3jiayVxwkE,73,"['pop', 'post-teen pop']",3587917
