,Unnamed: 0,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album_image,preview_url
10,10,LOU WILL,Big Tuh,75gv6Lz2PM4n4GgDvcSImP,29,6IzO9CaAJZyKjJ06kjqpeD,13,[],980,0.835,0.789,-7.362,0.254,0.213,0.0,0.0978,0.555,163.99,75gv6Lz2PM4n4GgDvcSImP,175598,4,https://i.scdn.co/image/ab67616d0000b2736eb19e6e432972fd2f23d116,https://p.scdn.co/mp3-preview/71d85d999fba36357c0fefb68df61f568ba75286?cid=2763bb5284cd4f7cbb19087c145dca6f
11,11,Jonas Brothers,Year 3000,4zP7ADsgJgHGY6VzxbNp1z,66,7gOdHgIoIKoe4i9Tta6qdD,74,"['boy band', 'dance pop', 'pop', 'post-teen pop']",6379017,0.659,0.857,-5.85,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,4zP7ADsgJgHGY6VzxbNp1z,201960,4,https://i.scdn.co/image/ab67616d0000b273f61f60835543b02511652241,
12,12,Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,98,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717,4,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/a174cca3a21422be508f4e108ea1c04114e42538?cid=2763bb5284cd4f7cbb19087c145dca6f
13,13,SOLAR ANUS,Nightfall New Year - 2022 Remastered Version,0jN1Tv6z04zafIDUUSobVJ,0,2cNt7mvQClqgxycl3R830N,0,[],1,0.348,0.714,-5.394,0.154,0.0119,0.803,0.157,0.0349,154.714,0jN1Tv6z04zafIDUUSobVJ,186828,1,https://i.scdn.co/image/ab67616d0000b27324bcef06a188e40811e707c6,https://p.scdn.co/mp3-preview/41c94054c8a2a255e4a4943eac81b84efdfd18b8?cid=2763bb5284cd4f7cbb19087c145dca6f
14,14,Machine Gun Kelly,drug dealer (feat. Lil Wayne),4Gm1VAxKdLS9aL7bkbZZyr,69,6TIYQ3jFPwQSRmorSezPxX,82,['ohio hip hop'],4708932,0.633,0.717,-3.875,0.0493,0.00602,0.0,0.151,0.602,142.951,4Gm1VAxKdLS9aL7bkbZZyr,172283,4,https://i.scdn.co/image/ab67616d0000b273b4683d9ac3c5f14a71523c84,
15,15,Zedd,Clarity,6Rb8fTrmmivroJEy4avjRm,3,2qxJFvFYMEDqd7ui6kSAcq,74,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",5779734,0.509,0.781,-3.48,0.0721,0.0391,0.0,0.0749,0.176,128.002,6Rb8fTrmmivroJEy4avjRm,271427,4,https://i.scdn.co/image/ab67616d0000b273bfc0cf223d56aa0b7a0a6aa3,
16,16,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,98,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303,4,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,https://p.scdn.co/mp3-preview/c871f7a3b36ad708640a833fbf7a0b9e84c5b688?cid=2763bb5284cd4f7cbb19087c145dca6f
17,17,Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,83,5cj0lLjcoR7YOSnhnX0Po5,89,"['dance pop', 'pop']",20512274,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,3DarAbFujv6eYNliUTyqtz,208667,4,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,https://p.scdn.co/mp3-preview/981b61d494e16ae618bbbc1aaafa62a8066530fa?cid=2763bb5284cd4f7cbb19087c145dca6f
18,18,G-Eazy,When You're Gone (feat. Lil Wayne),0MrI5860scv6Zhv8eJlLjY,43,02kJSzxNuaWGqwubyUba0Z,75,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",5088997,0.612,0.872,-4.938,0.197,0.0484,0.0,0.0862,0.587,90.883,0MrI5860scv6Zhv8eJlLjY,237253,4,https://i.scdn.co/image/ab67616d0000b27316dc8a0abf2e3e40c84544f1,https://p.scdn.co/mp3-preview/2ebcefdea846a5ec9750226d5dc408b5bd75f152?cid=2763bb5284cd4f7cbb19087c145dca6f
19,19,Philip Rossen,My Robot Friend (Year 2022),6RYvYpuG78mZ9ZbruGC69Q,2,73jeggVeotxK7Itm1FpGP4,0,[],1,0.742,0.587,-6.67,0.32,0.155,0.0,0.607,0.481,89.981,6RYvYpuG78mZ9ZbruGC69Q,154671,4,https://i.scdn.co/image/ab67616d0000b2734a5d4a63c21cbae804d7dd3a,https://p.scdn.co/mp3-preview/14fc301bbd33ea42447dc7d26beb97b52827f029?cid=2763bb5284cd4f7cbb19087c145dca6f
20,20,Harry Styles,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,94,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648,0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/ab3568a72e1c016308c263854dc307251ce33a2b?cid=2763bb5284cd4f7cbb19087c145dca6f
21,21,Zedd,The Middle,1XBL6XxdXb77tyjPIactJr,1,2qxJFvFYMEDqd7ui6kSAcq,74,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",5779734,0.753,0.657,-3.061,0.045,0.173,0.0,0.112,0.435,107.013,1XBL6XxdXb77tyjPIactJr,184732,4,https://i.scdn.co/image/ab67616d0000b273bfc0cf223d56aa0b7a0a6aa3,
22,22,LPB Poody,Batman (with Lil Wayne feat. Moneybagg Yo) - Remix,0elEjBWGVXPnMcDkHuUQlW,53,0wHeZY93Ede0g1jXaWsiFS,51,"['florida rap', 'viral rap']",104678,0.834,0.628,-4.403,0.359,0.0849,0.0,0.0372,0.76,81.091,0elEjBWGVXPnMcDkHuUQlW,215504,4,https://i.scdn.co/image/ab67616d0000b273670a17587711e29ae6c2b9b8,
23,23,Taylor Swift,22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,72,06HL4z0CvFAxyc27GXpf02,93,['pop'],55742201,0.642,0.695,-5.62,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,3yII7UwgLF6K5zW3xad3MP,230960,4,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,
